user_id,year,Grade (year of study):,Age,Gender,Country,Study programme:,"How many hours of AI-related courses have you taken (from 0 to many, not per week, summary in your study):",L1,L2,L3,L4,L5,RE1,RE2,RE3,RE4,RE5,RE6,R1,R2,R3,R4,R5,R6,SG1,SG2,SG3,SG4,SG5,CM1,CM2,CM3,CM4,A1,A2,A3,A4,A5,IM1,IM2,IM3,IM4,S1,S2,S3,S4,S5,C1,C2,C3,C4,C5,BI1,BI2,BI3,BI4,BI5
134,2022,2,23,female,SK,education,0,4,5,4,2,4,4,3,4,3,5,3,4,2,2,4,2,4,4,4,3,4,3,4,4,2,1,4,4,4,3,2,2,2,2,0,3,0,4,0,0,0,0,2,2,0,2,2,0,0,3
135,2022,3,20,male,SK,education,100,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
136,2022,2,20,male,SK,other,100,2,4,4,2,4,2,4,3,3,2,2,4,4,4,4,3,3,3,3,3,4,3,4,3,3,3,4,4,2,3,2,3,4,4,3,4,4,4,0,0,0,4,4,4,4,0,0,0,0,0
137,2022,1,19,male,SK,IT,0,5,4,4,2,3,4,3,2,3,4,5,5,3,3,3,3,3,3,5,3,3,3,4,4,4,4,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2022,2,20,female,SK,education,26,5,5,5,5,4,5,5,5,4,2,4,4,4,4,4,4,5,5,5,5,5,5,5,2,2,3,1,1,2,2,2,4,4,3,3,4,5,0,5,4,4,5,4,0,4,4,5,5,0,5
139,2022,2,21,female,SK,education,0,4,4,3,4,4,4,3,4,3,3,3,4,4,4,3,3,3,4,4,3,4,5,4,5,2,2,3,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2022,1,21,male,SK,IT,0,5,5,4,5,3,5,5,5,3,3,3,4,4,5,4,4,4,4,4,4,3,4,4,4,4,5,2,3,2,2,3,4,0,0,0,0,0,0,0,0,4,4,3,4,0,4,3,4,5,4
141,2022,4,22,male,SK,IT,100,5,5,4,1,5,5,5,5,5,5,3,5,5,5,3,5,4,5,5,3,5,3,5,5,4,4,3,3,1,2,2,4,3,5,4,5,4,5,5,4,4,5,4,4,3,4,4,3,3,4
142,2022,3,22,male,SK,IT,0,3,3,3,3,4,4,4,3,3,3,4,3,5,5,5,5,5,5,5,5,5,5,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,5,5,5,3,3,3,5,5,5
143,2022,4,23,male,SK,IT,2,5,5,5,2,3,5,5,4,4,3,4,4,4,5,3,3,4,4,5,4,4,4,5,3,3,3,1,4,1,1,1,2,2,3,3,3,3,3,4,3,2,4,3,4,3,3,2,3,5,4
144,2022,2,21,female,SK,education,0,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
145,2022,2,21,female,SK,education,0,4,4,4,2,3,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,2,3,2,1,1,3,3,3,4,4,3,5,5,3,5,4,4,4,4,3,4,4,4,4
146,2022,3,25,male,SK,IT,100,5,5,3,1,4,5,4,3,4,2,4,5,4,4,3,2,3,4,4,4,3,3,3,3,2,2,1,1,1,1,1,0,0,0,3,2,4,2,2,2,3,3,3,3,3,2,3,4,3,4
147,2022,2,21,male,SK,IT,0,5,5,4,1,5,4,3,3,3,4,4,4,2,4,3,3,3,4,5,5,5,4,5,5,5,3,3,4,2,2,1,4,2,5,0,0,0,5,0,0,4,4,4,4,0,0,4,4,4,4
148,2022,2,21,male,SK,IT,0,5,5,5,2,4,4,4,4,2,5,2,5,4,5,4,3,2,5,4,5,5,4,5,5,5,4,4,2,1,1,1,5,0,5,0,5,0,5,0,3,0,5,5,5,0,0,5,5,4,4
149,2022,3,24,male,SK,IT,2,5,5,5,3,4,4,5,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,5,5,4,5,3,2,2,3,2,4,4,5,5,4,4,5,4,4,4,4,4,4,4,4,3,4,4,5
150,2022,1,19,male,SK,IT,0,5,4,3,1,4,5,5,3,4,3,4,5,5,5,4,5,4,4,5,5,5,4,5,4,4,5,3,4,3,1,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,4
151,2022,2,22,female,SK,education,2,4,4,3,3,3,4,4,3,4,3,2,4,3,4,3,3,4,4,2,4,4,3,4,2,2,3,2,3,2,2,2,4,4,3,0,3,4,3,4,3,4,4,0,4,4,3,4,4,4,4
152,2022,2,21,male,SK,IT,0,5,5,5,5,4,5,5,5,5,2,4,2,5,5,4,4,5,5,5,5,4,4,4,4,4,4,2,2,2,2,2,5,2,4,2,4,4,4,2,3,3,2,4,4,2,4,3,4,4,4
153,2022,1,20,male,SK,IT,0,4,4,4,2,4,4,4,2,2,3,1,4,3,3,3,3,3,4,4,4,3,2,4,4,3,4,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2022,2,20,female,SK,education,0,4,4,3,2,4,4,4,2,4,3,3,4,3,3,4,3,3,4,4,5,3,3,4,3,2,3,3,3,2,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2022,1,19,male,SK,IT,0,4,4,4,2,3,4,3,4,4,3,4,2,4,4,3,4,3,4,4,3,3,3,4,4,3,4,3,4,3,3,3,3,4,3,4,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3
156,2022,4,23,male,SK,IT,52,5,5,5,1,3,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,3,5,5,3,3,5,1,4,1,2,1,5,0,5,3,4,3,5,1,0,0,4,0,4,0,3,5,5,0,5
157,2022,1,26,male,SK,IT,12,4,3,3,1,3,3,2,2,3,2,1,4,4,4,4,3,3,3,2,2,4,3,4,4,4,4,5,4,4,4,3,4,3,4,3,3,5,4,4,3,3,4,4,4,4,3,3,2,2,3
158,2022,3,21,female,SK,other,0,4,4,3,5,3,4,4,4,4,3,2,4,2,3,3,3,4,4,3,3,3,3,3,4,2,2,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2022,4,25,male,SK,IT,50,5,5,5,5,5,5,5,4,4,5,4,5,4,5,5,2,4,4,5,5,4,4,5,4,4,4,4,4,1,4,2,4,2,4,2,4,3,4,2,3,3,4,2,4,2,4,4,4,4,5
160,2022,1,22,female,SK,other,0,4,4,2,2,4,4,5,2,3,4,3,4,4,2,2,2,3,5,4,4,5,4,4,4,2,2,2,4,2,3,2,0,2,4,0,4,0,5,0,0,3,4,4,5,2,2,5,4,0,2
161,2022,2,21,female,SK,education,0,4,4,4,3,3,4,4,4,3,3,3,3,3,4,2,3,4,3,4,2,4,4,4,3,3,3,2,2,2,3,2,4,0,4,0,0,0,4,3,3,2,4,1,2,1,3,4,4,4,4
162,2022,4,22,male,SK,IT,30,5,5,5,5,5,5,5,5,5,3,4,4,5,5,4,4,4,5,5,5,3,3,5,4,4,4,4,4,3,3,2,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,5,4,4
