user_id,year,Grade (year of study):,Age,Gender,Country,Study programme:,"How many hours of AI-related courses have you taken (from 0 to many, not per week, summary in your study):",L1,L2,L3,L4,L5,RE1,RE2,RE3,RE4,RE5,RE6,R1,R2,R3,R4,R5,R6,SG1,SG2,SG3,SG4,SG5,CM1,CM2,CM3,CM4,A1,A2,A3,A4,A5,IM1,IM2,IM3,IM4,S1,S2,S3,S4,S5,C1,C2,C3,C4,C5,BI1,BI2,BI3,BI4,BI5
163,2022,2,22,male,SK,IT,0,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,4,2,2,1,4,0,4,0,4,0,4,0,0,4,5,4,4,0,4,4,3,5,5
164,2022,1,22,female,SK,IT education,0,5,5,5,4,5,4,4,3,3,4,2,4,5,5,5,2,5,5,3,5,3,5,5,5,5,5,3,1,1,1,1,4,0,0,0,4,0,5,0,0,0,5,5,4,0,5,5,5,5,4
165,2022,3,22,female,SK,other,0,4,4,4,3,4,4,5,3,4,3,4,5,2,4,4,3,2,4,3,4,5,3,4,3,2,2,2,4,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
166,2022,4,25,male,SK,IT,30,5,5,5,5,5,5,5,5,3,3,4,4,3,4,5,1,3,2,5,5,4,3,3,3,3,3,1,2,1,2,1,4,3,3,4,3,3,3,2,3,2,3,3,4,3,4,3,3,2,3
167,2022,2,21,male,SK,IT,0,5,5,5,1,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,2,3,1,2,1,5,3,5,2,0,0,5,0,2,4,4,4,5,4,4,4,4,3,4
168,2022,2,21,male,SK,education,0,4,4,3,2,4,4,4,4,4,2,3,2,4,3,2,3,4,2,2,3,4,4,4,2,2,3,2,2,2,2,2,2,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,2
169,2022,4,23,male,SK,IT,20,5,5,5,4,3,4,5,5,5,3,4,5,4,4,4,3,4,3,3,4,5,4,3,2,3,4,3,3,3,2,2,4,3,4,2,3,4,4,2,4,3,4,3,3,3,4,3,3,5,5
170,2022,1,23,male,SK,IT,1,4,4,4,2,4,2,4,4,4,4,3,5,4,4,3,3,2,5,4,3,3,3,4,4,3,3,3,4,3,2,2,5,3,4,4,3,4,4,4,3,3,4,3,4,2,3,3,4,4,4
171,2022,4,23,female,SK,IT,2,4,4,4,4,4,4,4,3,4,4,3,5,4,5,4,5,4,3,3,3,3,3,3,3,4,1,3,5,4,4,4,0,2,4,4,4,4,5,4,3,0,0,0,4,0,2,3,4,2,2
172,2022,4,24,male,SK,IT,30,5,4,3,4,4,4,3,3,3,2,3,4,4,5,4,3,4,1,2,3,4,2,4,3,2,3,3,3,1,3,2,4,3,3,3,3,4,4,3,2,3,4,4,4,2,4,3,3,4,4
173,2022,2,22,female,SK,education,0,4,4,3,2,4,4,2,3,3,2,2,3,4,3,1,3,2,4,3,4,4,3,2,2,2,2,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
174,2022,2,22,female,SK,education,0,5,5,2,1,5,1,4,1,1,1,2,4,5,3,2,3,1,1,1,1,2,4,2,3,2,1,2,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2022,2,22,male,SK,IT,0,4,4,3,5,3,4,3,3,3,2,3,4,5,4,3,3,4,5,4,4,4,3,4,4,4,3,3,4,1,3,3,3,4,4,0,3,0,4,0,0,0,3,3,0,0,0,0,5,4,3
176,2022,2,23,female,SK,education,1,3,2,3,2,4,2,2,2,2,3,1,2,2,1,2,2,2,2,3,2,3,2,2,2,2,2,4,4,4,4,5,3,3,3,4,2,2,1,0,0,0,0,0,0,0,2,3,3,3,2
177,2022,2,21,female,SK,STEM education,0,2,4,2,4,2,4,5,3,2,2,3,5,3,4,3,2,3,4,3,4,2,2,4,3,3,2,3,3,3,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2022,5,24,male,SK,IT,100,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,4,2,3,1,1,1,3,4,5,3,4,4,4,3,3,4,4,4,4,3,4,5,5,5,5
179,2022,3,22,male,SK,IT,0,5,5,3,4,4,4,5,3,2,4,4,5,3,4,3,4,2,5,4,4,3,4,3,3,2,3,2,2,1,1,1,4,2,4,4,3,4,4,4,3,3,4,4,3,2,3,0,4,4,4
180,2022,3,22,female,SK,IT,12,4,4,3,2,3,4,4,3,4,2,2,4,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,4,0,0,0,3,0,4,4,3,3,4,4,4,3,3,0,3,4,4
181,2022,2,20,other,SK,education,3,5,5,5,5,3,4,4,4,3,4,3,4,4,4,5,3,4,3,4,4,3,4,4,4,3,3,3,3,2,2,3,3,4,3,3,3,3,4,3,3,4,4,3,4,3,4,2,4,4,3
182,2022,1,24,male,SK,IT,150,4,4,4,4,4,5,4,4,4,5,4,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5,2,3,2,5,4,5,5,3,5,4,4,5,5,4,3,4,3,5,3,5,5,5,5,5
183,2022,3,21,male,SK,IT,20,5,5,3,2,4,4,4,3,2,4,3,4,4,5,4,4,3,5,4,4,3,5,5,4,2,3,5,5,3,3,2,3,2,2,3,1,0,3,2,2,1,3,1,2,1,3,2,5,4,5
184,2022,1,19,male,SK,IT,20,5,5,4,3,1,4,5,5,4,2,3,4,4,4,4,3,3,4,4,3,3,3,4,5,5,4,4,3,2,3,4,4,0,0,0,0,0,0,0,0,4,4,3,5,2,4,5,4,5,5
185,2022,2,20,male,SK,IT,0,5,5,3,5,5,5,5,2,5,5,3,4,3,5,3,3,4,5,5,4,1,3,4,5,4,5,1,1,1,3,1,4,3,4,4,4,4,5,4,3,5,5,4,4,4,5,4,4,0,0
186,2022,2,20,male,SK,IT,0,5,5,5,3,5,5,5,4,3,4,4,5,4,4,4,3,4,4,4,3,3,3,4,3,5,4,2,3,1,1,1,0,0,0,0,0,0,4,0,0,3,4,3,3,0,0,4,3,0,0
187,2022,3,22,male,SK,IT,100,5,5,2,1,3,4,4,3,4,5,4,5,5,4,2,3,2,5,4,4,3,3,4,5,4,3,2,4,3,3,1,4,4,3,5,3,5,4,4,3,4,4,4,4,3,0,2,5,2,2
188,2022,5,24,male,SK,IT,50,4,3,3,4,4,3,4,3,3,3,2,2,3,2,2,2,2,4,2,4,3,3,3,2,2,2,3,3,2,3,3,2,2,2,2,2,0,2,3,3,2,2,1,2,1,1,3,3,3,3
